From St,Install Yr,Street,To St,Update Yr,Miles
34TH AV,2012,Sloat Blvd,SUNSET BLVD OFF-RAMP,2017,"0,121212121"
34TH AVE,2014,Ortega St,35TH AVE,0,"0,117424242"
35TH AV,1997,Cabrillo St,36TH AV,0,"0,118181818"
35TH AV,2004,Clement St,36TH AV,0,"0,117424242"
35TH AV,2006,Vicente St,36TH AV,2017,"0,119696970"
35TH AV,2010,Irving St,36TH AV,0,"0,117803030"
35TH AV,2010,Kirkham St,PINO AL,0,"0,058712121"
35TH AV,2010,Yorba St,ALLEY,0,"0,067424242"
35TH AV,2012,Sloat Blvd,36TH AV,2017,"0,100757576"
35TH AVE,2014,Ortega St,36TH AVE,0,"0,117803030"
36TH AV,0,John F Kennedy Dr,36TH AV,0,"0,298106061"
36TH AV,0,John F Kennedy Dr,CHAIN OF LAKES DR,0,"0,496969697"
36TH AV,1997,Cabrillo St,37TH AV,0,"0,117045455"
36TH AV,2004,Clement St,38TH AV,0,"0,234848485"
36TH AV,2006,Vicente St,SUNSET BLVD,2017,"0,056439394"
36TH AV,2010,Irving St,SUNSET BLVD,0,"0,058333333"
36TH AV,2010,Kirkham St,SUNSET BLVD,0,"0,058712121"
36TH AV,2012, ,36TH AV,0,"0,05"
36TH AV,2012,36th Ave,UNNAMED #134,0,"0,145454545"
36TH AVE,2014,Ortega St,SUNSET BLVD,0,"0,059090909"
37TH AV,0,John F Kennedy Dr,38TH AV,0,"0,170075758"
37TH AV,1997,Cabrillo St,38TH AV,0,"0,117045455"
37TH AV,2006,Vicente St,38TH AV,2017,"0,117045455"
37TH AV,2010,Kirkham St,38TH AV,0,"0,117424242"
37TH AVE,2014,Ortega St,38TH AVE,0,"0,058712121"
38TH AV,1997,Cabrillo St,39TH AV,0,"0,117424242"
38TH AV,2004,Clement St,39TH AV,0,"0,117424242"
38TH AV,2006,Vicente St,39TH AV,2017,"0,117045455"
38TH AV,2010,Kirkham St,39TH AV,0,"0,117424242"
38TH AVE,2014,Ortega St,39TH AVE,0,"0,058522727"
39TH AV,1997,Cabrillo St,40TH AV,0,"0,117045455"
39TH AV,2004,Clement St,40TH AV,0,"0,117803030"
39TH AV,2006,Vicente St,40TH AV,2017,"0,117803030"
39TH AV,2010,Kirkham St,40TH AV,0,"0,117424242"
39TH AV,2013,Sloat Blvd,41ST AV,2015,"0,299621212"
39TH AVE,2014,Ortega St,40TH AVE,0,"0,058712121"
40TH AV,1997,Cabrillo St,41ST AV,0,"0,118181818"
40TH AV,2004,Clement St,41ST AV,0,"0,117045455"
40TH AV,2006,Vicente St,41ST AV,2017,"0,117803030"
40TH AV,2010,Kirkham St,41ST AV,0,"0,117424242"
40TH AVE,2014,Ortega St,41ST AVE,0,"0,058712121"
41ST AV,1997,Cabrillo St,42ND AV,0,"0,117803030"
41ST AV,2004,Clement St,42ND AV,0,"0,117803030"
41ST AV,2006,Vicente St,42ND AV,2017,"0,115909091"
41ST AV,2010,Kirkham St,42ND AV,0,"0,117424242"
41ST AV,2013,Sloat Blvd,42ND AV,2015,"0,125757576"
41ST AVE,2014,Ortega St,42ND AVE,0,"0,117803030"
42ND AV,1997,Cabrillo St,43RD AV,0,"0,117803030"
42ND AV,2004,Clement St,43RD AV,0,"0,117803030"
42ND AV,2006,Vicente St,43RD AV,2017,"0,118939394"
42ND AV,2010,Kirkham St,43RD AV,0,"0,118181818"
42ND AV,2013,Point Lobos Ave,43RD AV,0,"0,119318182"
42ND AV,2013,Sloat Blvd,43RD AV,2015,"0,117424242"
42ND AVE,2014,Ortega St,43RD AVE,0,"0,117803030"
43RD AV,1997,Cabrillo St,44TH AV,0,"0,117424242"
43RD AV,2006,Vicente St,44TH AV,2017,"0,117803030"
43RD AV,2010,Clement St,44TH AV,0,"0,116666667"
43RD AV,2010,Kirkham St,44TH AV,0,"0,117424242"
43RD AV,2013,Point Lobos Ave,44TH AV,0,"0,118939394"
43RD AV,2013,Sloat Blvd,45TH AV,2015,"0,223863636"
43RD AVE,2014,Ortega St,44TH AVE,0,"0,117803030"
44TH AV,1997,Cabrillo St,45TH AV,0,"0,117045455"
44TH AV,2006,Vicente St,45TH AV,2017,"0,117803030"
44TH AV,2010,Clement St,45TH AV,0,"0,118939394"
44TH AV,2010,Kirkham St,45TH AV,0,"0,117803030"
44TH AV,2013,Point Lobos Ave,45TH AV,0,"0,119696970"
44TH AVE,2014,Ortega St,45TH AVE,0,"0,117424242"
45TH AV,1997,Cabrillo St,46TH AV,0,"0,117803030"
45TH AV,2006,Vicente St,46TH AV,2017,"0,117424242"
45TH AV,2010,Kirkham St,46TH AV,0,"0,117424242"
45TH AV,2010,Seal Rock Dr,ALTA MAR WY,0,"0,183712121"
45TH AV,2013,Point Lobos Ave,46TH AV,0,"0,118560606"
45TH AV,2013,Sloat Blvd,47TH AV,2015,"0,235984848"
45TH AVE,2014,Ortega St,46TH AVE,0,"0,117803030"
46TH AV,1997,Cabrillo St,47TH AV,0,"0,117045455"
46TH AV,2006,Vicente St,47TH AV,,"0,058712121"
46TH AV,2006,Vicente St,47TH AV,2017,"0,058712121"
46TH AV,2010,Kirkham St,47TH AV,0,"0,117424242"
46TH AV,2013,Point Lobos Ave,ALTA MAR WY,0,"0,058712121"
46TH AVE,2014,Ortega St,47TH AVE,0,"0,117424242"
47TH AV,0,John F Kennedy Dr,MCCLAINS BEND,0,"0,416287879"
47TH AV,1997,Cabrillo St,48TH AV,0,"0,117424242"
47TH AV,2006,Vicente St,LOWER GREAT HWY,2017,"0,110606061"
47TH AV,2010,Kirkham St,48TH AV,0,"0,117045455"
47TH AV,2013,Point Lobos Ave,48TH AV,0,"0,117045455"
47TH AV,2013,Sloat Blvd,UPPER GREAT HWY,2014,"0,079924242"
47TH AV,2013,Sloat Blvd,UPPER GREAT HWY,2015,"0,079924242"
47TH AVE,2014,Ortega St,48TH AVE,0,"0,117424242"
48TH AV,1997,Cabrillo St,LA PLAYA ST,0,"0,118181818"
48TH AV,2010,Kirkham St,LOWER GREAT HWY,0,"0,128787879"
48TH AV,2013,Point Lobos Ave,MERRIE WY,0,"0,232196970"
48TH AVE,2014,Ortega St,GREAT HWY,0,"0,084469697"
ABBEY ST,2011,17th St,CHURCH ST,0,"0,147348485"
ALABAMA ST,0,26th St,HARRISON ST,0,"0,102651515"
ALABAMA ST,2010,22nd St,HARRISON ST,0,"0,050757576"
ALABAMA ST,2010,23rd St,HARRISON ST,0,"0,050757576"
ALABAMA ST,2012,17th St,HARRISON ST,2018,"0,080303030"
ALABAMA ST,2014,Cesar Chavez St,HARRISON ST,2014,"0,106060606"
ALAMEDA ST,1997,Harrison St,15TH ST,0,"0,131818182"
ALAMEDA ST,2010,Henry Adams St,15TH ST,0,"0,176136364"
ALAMEDA ST,2011,Potrero Ave,15TH AVE,0,"0,176136364"
ALAMEDA ST,2017,Bryant St,15TH ST,,"0,176136364"
ALBION ST,2011,17th St,DEARBORN ST,0,"0,041287879"
ALEMANY BL,2018, ,BAYSHORE BL,0,"0,033333333"
ALEMANY BLVD,0,Saint Charles Ave,BELLE AV,0,"0,266287879"
ALEMANY BLVD,1997,Brotherhood Wy,ARCH ST,2021,"0,451325758"
ALEMANY BLVD,2004,Geneva Ave,GLORIA CT,0,"0,110606061"
ALEMANY BLVD,2005,Silver Ave,CAMELLIA AV,0,"0,135606061"
ALEMANY BLVD,2021,San Bruno Ave,PERASTO AVE,,"0,032954545"
ALEMANY BLVD OFF RAMP,2011,Alemany Blvd,INDUSTRIAL ST OFF RAMP,2021,"0,120833333"
ALLEY,2010,Yorba St,34TH AV,0,"0,053787879"
ALLSTON WY,2009,Claremont Blvd,VERDUN WY,0,"0,042803030"
ALMADEN CT,2021,Anza Street,LORAINE CT,,"0,096969697"
ALTA MAR WY,2010,Seal Rock Dr,EL CAMINO DEL MAR,0,"0,217803030"
ALTA MAR WY,2013,Point Lobos Ave,47TH AV,0,"0,058333333"
ALVARADO ST,0,Hoffman Ave,23RD ST,0,"0,111363636"
ALVISO ST,2014,Holloway Ave,BYXBEE ST,2014,"0,015151515"
AMATURY LOOP,,Bay Area Ridge Trail,WASHINGTON BLVD,,"0,3"
AMATURY LOOP,,PARK TRAIL,WASHINGTON BLVD,,"0,039772727"
AMATURY LOOP,,Park Trail,WASHINGTON BLVD,,"0,039772727"
AMATURY LOOP,0,Park Blvd,WASHINGTON BLVD,0,"0,084469697"
AMATURY LOOP,2010,Park Blvd,AMATURY LOOP,0,"0,170454545"
AMES ST,2010,22nd St,FAIR OAKS ST,0,"0,058333333"
AMHERST ST,2005,Silver Ave,PRINCETON ST,0,"0,115909091"
ANDERSON ST,0,Crescent Ave,ELLSWORTH ST,0,"0,068181818"
ANDOVER ST,0,Crescent Ave,MOULTRIE ST,0,"0,071590909"
ANNAPOLIS TER,2003,Golden Gate Ave,TAMALPAIS TER,0,"0,097727273"
ANNAPOLIS TERR,1997,Turk St,TAMALPAIS TERR,0,"0,097727273"
ANZA AV,0,Lincoln Blvd,GRAHAM ST,0,"0,054545455"
ANZA ST,,Masonic Ave,EWING TERR,2018,"0,13125"
ANZA ST,0,15th Ave,BALBOA ST,0,"0,257196970"
ANZA ST,1997,Arguello Blvd,EDWARD ST,2016,"0,182954545"
ANZA ST,2005,8th Ave,BALBOA ST,0,"0,256818182"
ANZA ST,2010,23rd Ave,BALBOA ST,0,"0,257575758"
ANZA ST,2010,34th Ave,BALBOA ST,0,"0,257575758"
APTOS AV,2006,Ocean Ave,SAN BENITO WY,0,"0,096590909"
ARCH ST,1997,Brotherhood Way,JUNIPERO SERRA BLVD ON RAMP,2021,"0,359469697"
ARCH ST,2014,Holloway Ave,CORONA ST,2014,"0,046969697"
ARELIOUS WALKER DR,,Egbert Ave,EGBERT AVE,,"0,066287879"
ARELLANO AV,1997,Holloway Ave,FONT BLVD,0,"0,237121212"
ARGUELLO BLVD,,Ecology Trail,W PACIFIC AVE,,"0,143939394"
ARGUELLO BLVD,,Moraga Ave,GRAHAM ST,,"0,028598485"
ARGUELLO BLVD,,West Pacific Ave,PRESIDIO BLVD,,"0,670265152"
ARGUELLO BLVD,0,Kezar Dr,LINCOLN WAY,0,"0,211363636"
ARGUELLO BLVD,0,Sheridan Ave,MONTGOMERY ST,0,"0,092424242"
ARGUELLO BLVD,1997,Cabrillo St,2ND AV,0,"0,123484848"
ARGUELLO BLVD,1997,Lake St,2ND AV,0,"0,123106061"
ARGUELLO BLVD,2012,Conservatory West Dr,JOHN F KENNEDY DR,0,"0,407575758"
ARGUELLO BLVD,2015,Euclid St,PALM AV,,"0,123106061"
ARGUELLO BLVD,2021,Anza Street,ALMADEN CT,,"0,109848485"
ARKANSAS ST,2017,17th St,CONNECTICUT ST,,"0,106060606"
ARLINGTON ST,,Miguel St,RICHLAND AVE,2015,"0,028030303"
ARLINGTON ST,2010,Bosworth St,DIAMOND ST,,"0,136742424"
ARMISTEAD RD,0,Lincoln Blvd,COWLES ST,0,"0,433333333"
ARMSTRONG AV,2010,Keith St,BANCROFT AV,0,"0,104924242"
ARMSTRONG AV,2012,3rd St,BANCROFT AV,0,"0,108712121"
ARMY ST,1997,Indiana St,MARIN ST,2010,"0,184469697"
ARMY ST,1997,Valencia St,TIFFANY AV,2017,"0,214393939"
ARMY ST,2010,Sanchez St,27TH ST,0,"0,110984848"
ARNOLD AV,0,Crescent Ave,ROSCOE ST,0,"0,096969697"
ASHBURTON PL,2010,Grant Ave,POST PL,,"0,021969697"
ASHBURTON PL,2010,Grant Ave,POST ST,,"0,021969697"
ASHBURY ST,2006,Page St,CLAYTON ST,0,"0,182196970"
ASHBURY ST,2010,Clayton St,17TH ST,0,"0,132575758"
ASHBURY ST,2010,Waller St,DOWNEY ST,0,"0,091287879"
ASHBURY ST,2019,,MASONIC AV,,"0,088446970"
ASHBURY ST,2020,Fell St,CLAYTON ST,,"0,091287879"
ASHTON AV,2006,Ocean Ave,KEYSTONE WY,0,"0,072348485"
ASHTON AV,2014,Holloway Ave,ORIZABA AV,2014,"0,045833333"
ATHENS ST,2002,Geneva Ave,MOSCOW ST,0,"0,102651515"
AUGUSTA ST,2012,Bayshore Blvd,SILVER AV,0,"0,206439394"
AVERY ST,2010,Post St,STEINER ST,0,"0,091287879"
AVILA ST,0,Alhambra St,SCOTT ST,2015,"0,096590909"
BACHE ST,0,Crescent Ave,ANDOVER ST,0,"0,071969697"
BACON ST,2014,Bayshore Blvd,PHELPS ST,0,"0,022348485"
BACON ST,2014,Bayshore Blvd,PHELPS ST,2017,"0,022348485"
BADEN ST,2010,Hearst Ave,CONGO ST,0,"0,249621212"
BAKER,1997,Grove St,BRODERICK,0,"0,091098485"
BAKER ST,0,Francisco St,RICHARDSON AV,2015,"0,086742424"
BAKER ST,0,Marina Blvd,UNNAMED #103,0,"0,057575758"
BAKER ST,0,McAllister St,LYON ST,0,"0,182196970"
BAKER ST,1998,Golden Gate Ave,BRODERICK ST,,"0,183333333"
BAKER ST,1998,Post St,LYON ST,0,"0,183333333"
BAKER ST,2003,Golden Gate Ave,LYON ST,0,"0,182196970"
BAKER ST,2006,Page St,LYON ST,0,"0,182196970"
BAKER ST,2009,Greenwich St,LYON ST,0,"0,152272727"
BAKER ST,2010,Clay St,LYON ST,0,"0,181818182"
BAKER ST,2012,Geary Blvd,COLLINS ST,,"0,178598485"
BAKER ST,2013,Oak St,BRODERICK ST,2017,"0,091287879"
BAKER ST,2020,Fell St,LYON ST,,"0,091098485"
BALBOA ST,0,15th Ave,CABRILLO ST,0,"0,257575758"
BALBOA ST,0,La Playa St,CABRILLO ST,0,"0,257954545"
BALBOA ST,1998,Arguello Blvd,GOLDEN GATE AV,2016,"0,146969697"
BALBOA ST,2005,8th Ave,CABRILLO ST,0,"0,257575758"
BALBOA ST,2010,23rd Ave,CABRILLO ST,0,"0,257575758"
BALBOA ST,2010,34th Ave,CABRILLO ST,0,"0,257954545"
BALBOA ST,2013,Great Hwy,CABRILLO ST,0,"0,292803030"
BALCETA AV,2005,Woodside Ave,HERNANDEZ AV,0,"0,096969697"
BALCETA AV,2010,Laguna Honda Blvd,HERNANDEZ AV,0,"0,116666667"
BANCROFT AV,2010,Keith St,CARROLL AV,0,"0,106818182"
BANCROFT AV,2012,3rd St,CARROLL AV,0,"0,111363636"
BANK ST,,Presidio Promenade Trail,LINCOLN BLVD,,"0,404166667"
BANK ST,0,Lincoln Blvd,ANZA AV,0,"0,033712121"
BANK ST,2000,Mason St,CRISSY FIELD AV,,"1,112878788"
BANK ST,2014,Lincoln Blvd,ANZA AV,0,"0,033712121"
BANKS ST,0,Crescent Ave,PRENTISS ST,0,"0,068181818"
BANNOCK ST,2010,Geneva Ave,ALEMANY BLVD,0,"0,0875"
BARNARD AVE,,Presidio Blvd,MACARTHUR AVE,,"0,186363636"
BARNEVELD AV,1988,Oakdale Ave,BARNEVELD AV,2015,"0,017803030"
BARNEVELD AV,1998,Oakdale Ave,BARNEVELD AV,2015,"0,017803030"
BARNEVELD AV,1998,Oakdale Ave,LOOMIS ST,2015,"0,115151515"
BARNEVELD AV,2005,Loomis St,OAKDALE AV,0,"0,213636364"
BARNEVELD AV,2005,Silver Ave,GIRARD ST,0,"0,022348485"
BARNEVELD AVE,2005,Jerrold Ave,JERROLD AVE,2018,"0,128409091"
BARTLETT ST,2010,22nd St,VALENCIA ST,0,"0,121590909"
BARTLETT ST,2014,Cesar Chavez St,VALENCIA ST,2014,"0,060984848"
BARTOL ST,2005,Broadway,MONTGOMERY ST,0,"0,038257576"
BATTERY,2019,Vallejo St,FRONT,,"0,130303030"
BATTERY CAULFIELD RD,,Washington Blvd,COMPTON RD,,"0,375"
BATTERY DYNAMITE RD,2011,Lincoln Blvd,MERCHANT RD,0,"0,399621212"
BATTERY DYNAMITE RD,2011,Washington Blvd,KOBBE AV,0,"0,282575758"
BATTERY EAST RD,,Battery East Trail,LINCOLN BLVD,,"0,079545455"
BATTERY EAST RD,0,Lincoln Blvd,HOFFMAN ST,0,"0,263257576"
BATTERY EAST RD,0,Lincoln Blvd,UNNAMED #77,0,"0,120833333"
BATTERY EAST ROAD,,Battery East Trail,LONG AVE,,"0,427272727"
BATTERY ST,,Bush St,MARKET ST,,"0,032765152"
BATTERY ST,2005,Broadway,SANSOME ST,0,"0,130681818"
BATTERY ST,2006,Market St,SUTTER ST,0,"0,088257576"
BATTERY ST,2010,Clay St,SANSOME ST,0,"0,129924242"
BAY AREA RIDGE TRAIL,,Nauman Rd,WASHINGTON BLVD,,"0,451515152"
BAY SHORE BLVD,2005,Oakdale Ave,PATTERSON ST,0,"0,055681818"
BAY ST,,Laguna St,FRANCISCO ST,,"0,124242424"
BAY ST,0,Laguna St,NORTH POINT ST,0,"0,136742424"
BAY ST,1998,Polk St,NORTH POINT ST,0,"0,130303030"
BAY ST,1998,The Embarcadero,NORTH POINT ST,2012,"0,1"
BAY ST,1998,The Embarcadero,NORTH POINT ST,2017,"0,1"
BAY ST,2005,Columbus Ave,JONES ST,0,"0,059090909"
BAY ST,2005,Columbus Ave,NORTH POINT ST,0,"0,168560606"
BAYSHORE BLVD,2005,Industrial St,101 NORTH ON-RAMP,2020,"0,042613636"
BAYSHORE BLVD,2005,Industrial St,LOOMIS ST,0,"0,146969697"
BAYSHORE BLVD,2005,Silver Ave,CHARTER OAK AV,0,"0,043560606"
BAYSHORE BLVD,2012,Paul Ave,SAN BRUNO AV,0,"0,145833333"
BAYSHORE BLVD,2012,Tunnel Ave,BLANKEN AV,0,"0,150757576"
BAYWOOD CT,2010,Geneva Ave,BANNOCK ST,0,"0,068939394"
BEACHMONT DR,2012,Sloat Blvd,19TH AV,0,"0,106818182"
BEALE ST,1998,Folsom St,ZENO PL,2020,"0,090151515"
BEAUMONT AV,1998,Turk St,STANYAN ST,0,"0,098106061"
BEAUMONT AVE,2021,Anza Street,PARKER AVE,,"0,104545455"
BEEMAN LN,2012,San Bruno Ave,SOMERSET ST,0,"0,290530303"
BELCHER ST,2004,14th St,SANCHEZ ST,0,"0,121969697"
BELCHER ST,2006,Duboce Ave,SANCHEZ ST,2012,"0,121969697"
BELVEDERE ST,2005,Parnassus Ave,COLE ST,0,"0,147348485"
BERKSHIRE WY,0,Lake Merced Blvd,SUNSET BLVD,0,"0,710606061"
BERNICE ST,2015,13th St,ISIS ST,,"0,038257576"
BERRY ST,,4th St,CHANNEL ST,,"0,152272727"
BERRY ST,1998,7th St,CHANNEL ST,2019,"0,151893939"
BERRY ST,2010,3rd St,CHANNEL ST,2020,"0,152651515"
BEVERLY ST,0,Holloway Ave,LUNADO WY,0,"0,010984848"
BIRCH ST,2006,Octavia St,FULTON ST,0,"0,065151515"
BLAKE ST,2021,Anza Street,COLLINS ST,,"0,113636364"
BLANKEN AV,1998,Bay Shore Blvd,SAN BRUNO AV,0,"0,025378788"
BLANKEN AV,2012,Tunnel Ave,LATHROP AV,0,"0,136742424"
BLISS ST,,Infantry Ter,MORAGA AVE,,"0,081439394"
BLUXOME ST,2009,5th St,TOWNSEND ST,2020,"0,118560606"
BOARDMAN PL,2019,Brannan St,BUTTE PL,,"0,025"
BONITA ST,2005,Polk St,GREEN ST,2019,"0,063636364"
BORICA ST,2014,Holloway Ave,RALSTON ST,2014,"0,034469697"
BOSWORTH ST,2010,Diamond St,CIRCULAR AV,2017,"0,143939394"
BOSWORTH ST,2010,Lyell St,STILL ST,0,"0,185227273"
BOWDOIN ST,1998,Mansell St,DARTMOUTH ST,,"0,124810606"
BOWDOIN ST,2005,Silver Ave,BOWDOIN ST,0,"0,035606061"
BOWDOIN ST,2005,Silver Ave,HAMILTON ST,0,"0,114772727"
BOWLEY ST,0,Lincoln Blvd,STILWELL RD,0,"0,148106061"
BOWLING GREEN DR,0,Martin Luther King Jr Dr,5TH AVE,0,"0,196212121"
BOWLING GREEN DR,2012,Nancy Pelosi Dr,JOHN F KENNEDY DR,0,"0,173863636"
BRADY ST,2010,Otis St,GOUGH ST,0,"0,052083333"
BRANNAN ST,0,2nd St,TOWNSEND ST,2021,"0,240909091"
BRANNAN ST,1998,7th St,TOWNSEND ST,0,"0,120075758"
BRANNAN ST,1998,7th St,TOWNSEND ST,2020,"0,120075758"
BRANNAN ST,1998,8th St,TOWNSEND ST,2018,"0,240151515"
BRANNAN ST,1998,The Embarcadero,BRYANT ST,0,"0,321969697"
BRANNAN ST,2009,5th St,BLUXOME ST,2020,"0,121969697"
BRAZIL AVE,2017,Mansell St,,0,"0,278409091"
BREEN PL,0,McAllister St,LARKIN ST,0,"0,091666667"
BRIGHT ST,2014,Holloway Ave,HEAD ST,2014,"0,098863636"
BRIGHTON AV,2006,Ocean Ave,PLYMOUTH AV,0,"0,115151515"
BROADMOOR DR,2010,Winston Dr,STONECREST DR,0,"0,097348485"
BROADWAY,1971,Front St,VALLEJO ST,0,"0,132954545"
BROADWAY,1998,The Embarcadero,GREEN ST,0,"0,279924242"
BROADWAY,2005,Columbus Ave,GRANT AV,0,"0,060227273"
BROADWAY,2005,Polk St,VALLEJO ST,2019,"0,133333333"
BROADWAY,2010,Steiner St,VALLEJO ST,0,"0,133712121"
BROADWAY,2019,Davis St,JACKSON,,"0,25"
BROADWAY,2019,Sansome St,VALLEJO,,"0,066477273"
BRODERICK,1999,Grove St,DIVISADERO,0,"0,092424242"
BRODERICK ST,0,Francisco St,BAKER ST,2015,"0,182196970"
BRODERICK ST,0,McAllister St,BAKER ST,0,"0,183333333"
BRODERICK ST,1999,Fulton St,BAKER ST,0,"0,182196970"
BRODERICK ST,1999,Post St,BAKER ST,0,"0,181818182"
BRODERICK ST,2003,Fell St,BAKER ST,2017,"0,091287879"
BRODERICK ST,2004,Page St,BAKER ST,0,"0,182575758"
BRODERICK ST,2009,Greenwich St,BAKER ST,0,"0,182575758"
BRODERICK ST,2009,Hayes St,BAKER ST,0,"0,182196970"
BRODERICK ST,2010,Clay St,BAKER ST,0,"0,182196970"
BRODERICK ST,2012,Marina Blvd,BAKER ST,0,"0,181439394"
BROMLEY PL,2010,Webster St,PACIFIC AV,0,"0,061363636"
BROMPTON AV,2011,Bosworth St,LIPPARD AV,,"0,098674242"
BROOK ST,2005,San Jose Ave,KINGSTON ST,2017,"0,075757576"
BROOKDALE AV,1999,Geneva Ave,WALBRIDGE ST,0,"0,176893939"
BROOKS ST,1999,Lincoln Blvd,BOWLEY ST,0,"0,536363636"
BROSNAN ST,1999,Valencia St,14TH ST,2019,"0,084848485"
BROTHERHOOD WY,0,Lake Merced Blvd,LAKE MERCED HILL,0,"0,465909091"
BROTHERHOOD WY,0,Saint Charles Ave,SAINT CHARLES AVE,0,"0,020075758"
BRUSSELS ST,1999,Mansell St,GOETTINGEN ST,,"0,136742424"
BRUSSELS ST,2005,Silver Ave,BARNEVELD AV,0,"0,090909091"
BRYANT ST,0,2nd St,TABER PL,2021,"0,05"
BRYANT ST,0,26th St,FLORIDA ST,0,"0,103030303"
BRYANT ST,1999,7th St,BRANNAN ST,2020,"0,119696970"
BRYANT ST,1999,8th St,BRANNAN ST,2018,"0,119696970"
BRYANT ST,1999,The Embarcadero,HARRISON ST,0,"0,353030303"
BRYANT ST,2009,5th St,WELSH ST,2020,"0,082954545"
BRYANT ST,2010,22nd St,FLORIDA ST,0,"0,103409091"
BRYANT ST,2012,17th St,FLORIDA ST,2018,"0,106060606"
BRYANT ST,2014,Cesar Chavez St,FLORIDA ST,2014,"0,10625"
BRYANT ST,2015,13th St,HARRISON ST,,"0,134469697"
BUCHANAN ST,0,Broadway,WEBSTER ST,0,"0,181818182"
BUCHANAN ST,0,Duboce Ave,CHURCH ST,0,"0,312878788"
BUCHANAN ST,0,Sutter St,WEBSTER ST,0,"0,174242424"
BUCHANAN ST,1999,Bay St,WEBSTER ST,2015,"0,182196970"
BUCHANAN ST,2006,Page St,WEBSTER ST,0,"0,090530303"
BUCHANAN ST,2006,Page St,WEBSTER ST,2020,"0,090530303"
BUCHANAN ST,2009,Greenwich St,WEBSTER ST,0,"0,182196970"
BUCHANAN ST,2010,Post St,WEBSTER ST,0,"0,175378788"
BUCKINGHAM WY,1999,Winston Dr,LAKE MERCED BLVD,0,"0,657196970"
BURGOYNE ST,2010,Pacific Ave,HYDE ST,0,"0,142803030"
BURKE AV,,3rd St,CUSTER AV,,"0,117613636"
BURNETT AV,2011,Portola Dr,GLENVIEW DR,0,"0,165719697"
BURNETT AV,2011,Portola Dr,UNNAMED #19,0,"0,101325758"
BURNETT AVE,2021,,CHRISTMAS TREE POINT RD,,
BURNS PL,1999,11th St,FOLSOM ST,0,"0,056818182"
BURNSIDE AV,2011,Bosworth St,ELK ST,2017,"0,091098485"
BUSH ST,2004,Polk St,FRANK NORRIS ST,2019,"0,065151515"
BUSH ST,2006,Market St,BATTERY ST,0,"0,052272727"
BUSH ST,2006,Presidio Blvd,SUTTER ST,0,"0,129924242"
BUSH ST,2009,Sansome St,PINE ST,0,"0,129924242"
BUSH ST,2010,Battery St,MARKET ST,2020,"0,040530303"
BUSH ST,2010,Battery St,PINE ST,0,"0,065151515"
BUSH ST,2010,Steiner St,WILMOT ST,0,"0,064772727"
BUTTE PL,2019,Brannan St,GILBERT ST,,"0,062878788"
BYXBEE ST,2014,Holloway Ave,MONTICELLO ST,2014,"0,098863636"
CABRILLO ST,1999,Arguello Blvd,MC ALLISTER ST,2016,"0,052272727"
CABRILLO ST,2005,8th Ave,FULTON ST,0,"0,258712121"
CABRILLO ST,2010,23rd Ave,FULTON ST,0,"0,257954545"
CABRILLO ST,2010,30th Ave,FULTON ST,0,"0,257954545"
CABRILLO ST,2010,36th Ave,FULTON ST,0,"0,257954545"
CABRILLO ST,2010,43rd Ave,FULTON ST,0,"0,257575758"
CABRILLO ST,2010,47th Ave,FULTON ST,0,"0,257575758"
CABRILLO ST,2010,Funston Ave,FULTON ST,0,"0,257575758"
CABRILLO ST,2013,Great Hwy,FULTON ST,0,"0,224621212"
CALEDONIA ST,2011,16th St,VALENCIA ST,0,"0,055303030"
CALIFORNIA ST,0,15th Ave,CLEMENT ST,0,"0,257196970"
CALIFORNIA ST,1999,Arguello Blvd,CORNWALL ST,2016,"0,085984848"
CALIFORNIA ST,2005,8th Ave,CLEMENT ST,0,"0,257954545"
CALIFORNIA ST,2005,Polk St,SACRAMENTO ST,2019,"0,128030303"
CALIFORNIA ST,2006,Presidio Blvd,PINE ST,0,"0,133712121"
CALIFORNIA ST,2009,Sansome St,HALLECK ST,0,"0,067424242"
CALIFORNIA ST,2010,23rd Ave,CLEMENT ST,0,"0,256818182"
CALIFORNIA ST,2010,30th Ave,CLEMENT ST,0,"0,257575758"
CALIFORNIA ST,2010,Battery St,HALLECK ST,0,"0,033901515"
CALIFORNIA ST,2010,Steiner St,PERINE PL,0,"0,066287879"
CALIFORNIA ST,2010,Taylor St,SACRAMENTO ST,0,"0,129166667"
CAMBRIDGE ST,2005,Silver Ave,YALE ST,0,"0,121969697"
CAMELLIA AV,2005,Silver Ave,MISSION ST,0,"0,135606061"
CAMPBELL AV,2012,San Bruno Ave,BEEMAN LN,0,"0,147727273"
CAMPTON PL,0,Stockton St,SUTTER ST,0,"0,03125"
CAMPTON PL,2010,Grant Ave,ASHBURTON PL,,"0,021212121"
CAMPTON PL,2010,Grant Ave,TILLMAN PL,0,"0,021590909"
CAMPUS WY,2011,4th St,16TH ST,0,"0,134848485"
CAPITOL AV,0,Holloway Ave,FAXON AV,0,"0,111742424"
CAPITOL AV,2006,Ocean Ave,FAXON AV,0,"0,084090909"
CAPITOL AV,2011,Sagamore St,SAGAMORE ST,0,"0,335227273"
CAPP ST,2010,22nd St,MISSION ST,0,"0,119696970"
CAPP ST,2011,17th St,MISSION ST,0,"0,112878788"
CARDENAS AV,1999,Holloway Ave,ARELLANO AV,0,"0,215530303"
