From St,Install Yr,Street,To St,Update Yr,Miles
8TH AVE,2021,Anza Street,7TH AVE,,"0,118181818"
8TH ST,1997,Folsom St,9TH ST,2018,"0,119507576"
8TH ST,1997,Howard St,9TH ST,2018,"0,120075758"
8TH ST,2010,Townsend St,DIVISION ST,0,"0,035606061"
8TH ST,2019,Brannan St,9TH ST,,"0,243560606"
9TH AV,1997,Cabrillo St,10TH AV,0,"0,117424242"
9TH AV,1997,Lake St,10TH AV,0,"0,118181818"
9TH AV,2010,Kirkham St,10TH AV,0,"0,117424242"
9TH AVE,2021,Anza Street,8TH AVE,,"0,117045455"
9TH ST,1997,Folsom St,DORE ST,2018,"0,047348485"
9TH ST,1997,Howard St,WASHBURN ST,2018,"0,032575758"
9TH ST,2010,Division St,UTAH ST,2016,"0,078030303"
9TH ST,2019,Brannan St,DORE ST,,"0,090530303"
10TH AV,1971,Cabrillo St,11TH AV,0,"0,117045455"
10TH AV,1971,Lake St,11TH AV,0,"0,117045455"
10TH AV,2010,Kirkham St,11TH AV,0,"0,117424242"
10TH AV,2012,John F Kennedy Dr,STOW LAKE DR,0,"0,700378788"
10TH AVE,2021,Anza Street,9TH AVE,,"0,117424242"
10TH ST,1971,Folsom St,JUNIPER ST,2018,"0,046022727"
10TH ST,1971,Howard St,11TH ST,2018,"0,184469697"
11TH AV,1971,Cabrillo St,12TH AV,0,"0,117424242"
11TH AV,1971,Lake St,12TH AV,0,"0,117424242"
11TH AV,2010,Kirkham St,12TH AV,0,"0,117424242"
11TH AVE,2021,Anza Street,10TH AVE,,"0,117045455"
11TH ST,1971,Folsom St,NORFOLK ST,2018,"0,083712121"
11TH ST,1971,Harrison St,NORFOLK ST,0,"0,044696970"
11TH ST,1971,Market St,VAN NESS AV,0,"0,087121212"
11TH ST,2010,Mission St,12TH ST,0,"0,243560606"
12TH AV,1971,Cabrillo St,FUNSTON AV,0,"0,117803030"
12TH AV,1971,Lake St,FUNSTON AV,2016,"0,117424242"
12TH AV,2010,Kirkham St,FUNSTON AV,0,"0,117424242"
12TH AVE,2021,Anza Street,11TH AVE,,"0,117803030"
12TH ST,1971,Folsom St,13TH ST,2018,"0,191666667"
12TH ST,1971,Harrison St,13TH ST,0,"0,084848485"
13TH ST,1971,Harrison St,14TH ST,0,"0,114772727"
13TH ST,2012,Folsom St,ERIE ST,0,"0,031818182"
13TH ST,2017,Bryant St,DIVISION ST,,"0,051893939"
14TH,1999,Valencia St,ROSA PARKS LN,2019,"0,092424242"
14TH AV,,Park Blvd,WEST PACIFIC AV,,"0,481439394"
